BAYESIAN RESULTS
Input 1 (Ego Speed),Input 2 (Target Speed),Output 1 (TTC),Output 2(Jerk),HyperVolum,Generational Distance,Is_Pareto
24.6,4.1,0.8452557325363159,-9.860769009543064,7.51087374500304,5.669938496711188,
24.9,4.7,1.3948614597320557,-12.409013122327034,7.51087374500304,5.669938496711188,
24.4,5.0,1.390043020248413,-11.808975505835383,7.51087374500304,5.669938496711188,
23.5,3.9,1.3365685939788818,-11.62850698827539,7.51087374500304,5.669938496711188,
24.7,4.8,1.3985600471496582,-9.888702884306548,7.51087374500304,5.669938496711188,
25.0,4.5,1.3486167192459106,-7.887153115116784,7.51087374500304,5.669938496711188,
19.7,10.4,0.840309202671051,-11.792368531254594,7.51087374500304,5.669938496711188,
20.0,10.3,0.7511230111122131,-8.011737728121023,7.51087374500304,5.669938496711188,
19.5,10.5,0.7065051198005676,-7.940020859217495,7.51087374500304,5.669938496711188,
20.5,10.5,0.8148841857910156,-9.832046508803508,7.51087374500304,5.669938496711188,
19.6,10.2,0.8148841857910156,-9.832046508803508,7.51087374500304,5.669938496711188,
23.1,10.7,0.7805089950561523,-9.732212185839602,7.51087374500304,5.669938496711188,
23.3,3.7,1.3350236415863037,-11.601639312494253,7.51087374500304,5.669938496711188,
24.0,4.3,1.3425936698913574,-11.347004961956316,7.51087374500304,5.669938496711188,
22.6,8.5,1.2496262788772583,-11.801242780671,7.51087374500304,5.669938496711188,
24.4,7.1,1.3471896648406982,-10.839104235163358,7.51087374500304,5.669938496711188,
17.8,10.9,0.749839186668396,-11.385817480050507,7.51087374500304,5.669938496711188,Pareto
18.4,10.2,0.7966586351394653,-7.955706930122536,7.51087374500304,5.669938496711188,
23.3,8.8,1.1611459255218506,-11.017582416520955,7.51087374500304,5.669938496711188,
23.5,10.1,0.751380980014801,-9.83426618573135,7.51087374500304,5.669938496711188,
19.9,11.0,0.7796385884284973,-11.132938641256581,7.51087374500304,5.669938496711188,
24.0,4.9,1.4121845960617065,-10.269137620916618,7.51087374500304,5.669938496711188,
24.3,5.3,1.417902946472168,-13.45880537033825,7.51087374500304,5.669938496711188,
24.4,5.5,1.401491403579712,-12.808551311499999,7.51087374500304,5.669938496711188,
24.4,5.3,1.415043830871582,-13.344727134711981,7.51087374500304,5.669938496711188,
24.2,5.2,1.4160714149475098,-13.435793209083355,7.51087374500304,5.669938496711188,
24.3,5.2,1.412374496459961,-12.899704837806201,7.51087374500304,5.669938496711188,
24.2,5.4,1.3911494016647339,-13.142775058753603,7.51087374500304,5.669938496711188,
24.2,5.3,1.4069957733154297,-13.57287130356585,7.51087374500304,5.669938496711188,
16.6,10.7,0.9347309470176697,-10.042859831475766,7.51087374500304,5.669938496711188,
23.0,10.1,0.8436917066574097,-10.181704997967739,7.51087374500304,5.669938496711188,
14.5,10.2,0.8517739772796631,-11.026987290356997,7.51087374500304,5.669938496711188,
14.3,10.6,0.8266645073890686,-10.495107361624193,7.51087374500304,5.669938496711188,
24.1,5.2,1.3960044384002686,-13.618016719825643,7.51087374500304,5.669938496711188,Pareto
16.3,2.3,1.1278282403945923,-1.9551299333581633,7.51087374500304,5.669938496711188,
17.9,7.1,1.0500481128692627,-4.255975329870744,7.51087374500304,5.669938496711188,
23.3,0.0,1.3951681852340698,-2.73747167587432,7.51087374500304,5.669938496711188,
15.2,10.0,0.8185837864875793,-11.151369047127961,7.51087374500304,5.669938496711188,
14.9,9.9,0.8476125001907349,-7.961093139622108,7.51087374500304,5.669938496711188,
15.3,10.3,0.7522509098052979,-7.5636793136772935,7.51087374500304,5.669938496711188,
25.0,3.8,1.4575424194335938,-12.719175809611594,7.51087374500304,5.669938496711188,
25.0,3.5,1.4887171983718872,-2.5032938480391067,7.51087374500304,5.669938496711188,
25.0,4.0,1.4211070537567139,-11.29782257675033,7.51087374500304,5.669938496711188,
21.7,10.6,0.7634206414222717,-8.948624551317089,7.51087374500304,5.669938496711188,
24.1,5.3,1.3887605667114258,-13.520581603057707,7.51087374500304,5.669938496711188,Pareto
14.0,9.2,1.4445539712905884,-7.415786579268572,7.51087374500304,5.669938496711188,
14.2,9.9,0.8440628051757812,-9.079733720415463,7.51087374500304,5.669938496711188,
